listing_db_id,latitude,longitude,price,aqi,nwi_score,nearest_bus_stop_miles,nearby_bus_stops,nearby_parks,nearest_park_miles
380,38.9529,-77.068192,1866,28,13.3,0.03,106,2,0.56
381,38.915031,-77.044556,2159,28,17.5,0.08,165,1,0.65
382,38.875622,-77.007805,2584,28,17.8,0.07,61,0,0.8
383,38.90144,-77.052795,2215,28,14.8,0.12,138,1,0.68
384,38.908566,-77.034256,2706,28,14.7,0.08,248,5,0.43
385,38.932247,-77.029449,1550,28,14.2,0.07,164,3,0.63
386,38.926666,-77.038605,1870,28,14.5,0.08,146,3,0.55
387,38.908833,-77.048485,2016,28,16.3,0.06,154,1,0.43
388,38.922924,-77.074043,1700,28,12.3,0.08,90,0,1.58
389,38.928524,-77.033623,2495,28,15.7,0.04,175,3,0.56
390,38.928524,-77.033623,2345,28,15.7,0.04,175,3,0.56
391,38.936184,-77.055687,2476,28,13.2,0.04,69,2,0.82
392,38.880337,-77.006493,2016,28,15.8,0.27,71,0,0.89
393,38.917534,-77.068245,3359,28,17.2,0.05,115,0,1.89
394,38.904655,-77.051949,2568,28,15.8,0.09,142,1,0.57
395,38.87429,-77.000771,3213,34,17.8,0.15,80,1,0.86
396,38.918381,-77.023216,4900,28,16.2,0.06,193,3,0.23
397,38.90649,-77.033157,1599,28,14.7,0.06,250,4,0.45
398,38.94698,-77.064636,2787,28,11.8,0.04,92,1,0.16
399,38.879749,-77.014114,1624,28,14.5,0.11,74,1,0.49
400,38.917534,-77.068245,4982,28,17.2,0.05,115,0,1.89
401,38.88089,-76.987671,1975,34,18.0,0.03,102,1,0.19
