listing_db_id,latitude,longitude,price,aqi,nwi_score,nearest_bus_stop_miles,nearby_bus_stops,nearby_parks,nearest_park_miles,price_log,nearest_bus_stop_miles_log,nearby_bus_stops_log,QoL_index
7045,38.853363,-77.364319,2927,23,11.8,0.22,16,0,4.11,7.982074875081202,0.1988508587451652,2.833213344056216,0.1673954389507715
7046,38.96587,-77.388222,3949,23,14.0,7.2,0,0,5.49,8.281470857895167,2.1041341542702074,0.0,-0.46854873822728893
7047,38.949169,-77.33889,2988,23,15.0,5.37,0,0,2.62,8.002694162283937,1.851599469584072,0.0,-0.3641179162366612
7048,38.947784,-77.356766,2641,23,14.2,5.8,0,0,3.55,7.879291485082271,1.916922612182061,0.0,-0.41249211873302466
7049,38.868103,-77.271172,2492,23,15.0,0.06,44,2,0.5,7.821242083523558,0.058268908123975775,3.8066624897703196,0.7909616346538002
7050,38.882961,-77.405647,2310,22,18.3,2.63,0,0,6.94,7.745435610274381,1.2892326482767593,0.0,-0.04701052233244747
7051,38.779282,-77.24012,2440,24,12.2,0.1,44,1,0.94,7.80016307039296,0.09531017980432487,3.8066624897703196,0.44765417785741257
7052,38.871311,-77.313599,2271,23,14.0,0.1,18,0,2.63,7.7284157798410416,0.09531017980432487,2.9444389791664403,0.30811648864799734
7053,38.951305,-77.406639,2385,22,15.8,6.56,0,0,6.25,7.777373602657861,2.0228711901914416,0.0,-0.3175548115879317
7054,38.858917,-77.353966,2869,23,17.7,0.09,25,0,3.71,7.962067308753666,0.08617769624105233,3.258096538021482,0.512647185682135
7055,38.868103,-77.271172,2037,23,15.0,0.06,44,2,0.5,7.61972421378267,0.058268908123975775,3.8066624897703196,0.7946360186506837
7056,38.872051,-77.299911,1950,23,14.3,0.22,31,0,1.74,7.576097340623111,0.1988508587451652,3.4657359027997265,0.36350597416677666
7057,38.900597,-77.204002,2510,23,11.0,0.17,12,0,2.16,7.828436359157585,0.15700374880966475,2.5649493574615367,0.11098039580903094
7058,38.823208,-77.146408,2612,28,16.7,0.27,18,1,0.7,7.868254265520613,0.23901690047049992,2.9444389791664403,0.3558961222839392
7059,38.856758,-77.367935,3247,23,14.5,0.29,14,0,4.36,8.085794701281568,0.25464221837358075,2.70805020110221,0.26348962347075755
7060,38.93021,-77.227753,4222,23,13.8,0.73,5,0,4.17,8.348301054933943,0.5481214085096876,1.791759469228055,0.05791739775741883
7061,38.861073,-77.375313,2365,23,11.7,0.5,5,0,4.83,7.768956044538332,0.4054651081081644,1.791759469228055,0.0018947826749570493
7062,38.90773,-77.22036,2350,23,13.2,0.4,16,0,2.68,7.762596048540069,0.33647223662121295,2.833213344056216,0.20681406433714108
7063,38.930614,-77.240852,2094,23,7.7,1.14,0,0,2.77,7.647308832356238,0.76080582903376,0.0,-0.46354133871728176
7064,38.954105,-77.42688,1903,22,12.7,7.18,0,0,7.36,7.55171221535131,2.1016921506146558,0.0,-0.4728188497992233
7065,38.864117,-77.201271,1580,23,18.0,0.15,25,1,0.72,7.365812837209472,0.13976194237515868,3.258096538021482,0.6912001503990564
