listing_db_id,latitude,longitude,cluster
20563,38.6568,-77.0227,1577
20564,38.9112,-76.7201,1674
20565,38.9153,-76.8686,2292
20566,38.8417,-76.7341,195
20567,38.6378,-77.0486,174
20568,38.9817,-76.7739,1999
20569,38.8178,-76.995,2172
20570,39.0116,-76.9276,2229
20571,38.7724,-76.7865,1615
20572,39.104,-76.8772,1805
20573,38.9198,-76.8824,2315
20574,38.9505,-76.9305,2266
20575,38.9651,-76.918,599
20576,38.9267,-76.7207,309
20577,38.8986,-76.8966,2224
20578,38.8923,-76.8432,2294
20579,38.8983,-76.9028,2224
20580,38.891,-76.8352,496
20581,38.891,-76.8352,496
20582,38.7889,-76.9384,2160
20583,38.9006,-76.8393,2317
20584,38.9792,-76.9289,2234
20585,39.0081,-76.962,2278
20586,38.9793,-76.929,2234
20587,38.9678,-76.934,2303
20588,38.7306,-76.9843,299
20589,38.9814,-76.8583,2155
20590,38.8279,-76.7583,195
20591,38.7214,-76.9978,299
20592,38.714,-76.9104,1687
20593,38.8739,-76.9212,2238
20594,38.8346,-76.8646,518
20595,38.9565,-76.9871,711
20596,38.8789,-76.8083,2307
20597,39.0111,-76.778,2005
20598,38.94,-76.965,700
20599,38.8411,-76.8824,2348
20600,38.6209,-76.7417,1504
20601,38.7829,-77.011,466
20602,38.8749,-76.8772,2255
20603,38.7787,-77.0092,466
20604,38.7064,-77.0232,1814
20605,38.8248,-76.7884,195
20606,39.0122,-76.9203,562
20607,38.8666,-76.839,2233
20608,38.9205,-76.841,2279
20609,38.8703,-76.7051,1675
20610,38.8914,-76.8109,2307
20611,38.8308,-76.9112,2167
20612,38.8949,-76.9,2223
20613,38.8671,-76.8392,2233
20614,38.9543,-76.9835,711
20615,38.7784,-77.0068,466
20616,38.9812,-76.7578,1961
20617,38.7732,-76.9528,1885
20618,38.929,-76.8864,2306
20619,38.688,-76.868,1716
20620,38.8227,-76.7645,195
20621,38.805,-76.9118,2175
20622,38.7248,-77.0056,1813
20623,38.8655,-76.9095,2270
20624,38.894,-76.8973,2223
20625,38.7883,-76.9993,466
20626,38.8201,-76.8316,2124
20627,38.9718,-76.9575,708
